iata,name,city,country,lat,lon
ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001
AMA,Rick Husband Amarillo International Airport,Amarillo,United States,35.219398,-101.706001
ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,61.174400329589844,-149.99600219726562
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101
AUS,Austin Bergstrom International Airport,Austin,United States,30.194499969482422,-97.6698989868164
AVL,Asheville Regional Airport,Asheville,United States,35.43619918823242,-82.54180145263672
BDL,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.68319702149999
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189
BIL,Billings Logan International Airport,Billings,United States,45.807701110839844,-108.54299926757812
BIS,Bismarck Municipal Airport,Bismarck,United States,46.772701263427734,-100.74600219726562
BNA,Nashville International Airport,Nashville,United States,36.1245002746582,-86.6781997680664
BOI,Boise Air Terminal/Gowen Field,Boise,United States,43.5644,-116.223
BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325
BTV,Burlington International Airport,Burlington,United States,44.471900939899996,-73.15329742429999
BUF,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.1754,-76.668297
BZN,Gallatin Field,Bozeman,United States,45.77750015,-111.1529999
CHS,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683
CLE,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099
CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019043,-80.94309997558594
CMH,John Glenn Columbus International Airport,Columbus,United States,39.998001,-82.891899
COS,City of Colorado Springs Municipal Airport,Colorado Springs,United States,38.805801,-104.700996
CPR,Casper-Natrona County International Airport,Casper,United States,42.908001,-106.463997
CRP,Corpus Christi International Airport,Corpus Christi,United States,27.77039909362793,-97.5011978149414
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,39.0488014221,-84.6678009033
DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697
DEN,Denver International Airport,Denver,United States,39.861698150635,-104.672996521
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002
DSM,Des Moines International Airport,Des Moines,United States,41.534000396728516,-93.66310119628906
DTW,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529052734,-83.35340118408203
ECP,Northwest Florida Beaches International Airport,Panama City,United States,30.357106,-85.795414
ELP,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984
EWR,Newark Liberty International Airport,Newark,United States,40.692501068115234,-74.168701171875
FAR,Hector International Airport,Fargo,United States,46.92070007324219,-96.81580352783203
FAT,Fresno Yosemite International Airport,Fresno,United States,36.77619934082031,-119.71800231933594
FCA,Glacier Park International Airport,Kalispell,United States,48.31050109863281,-114.25599670410156
FSD,Joe Foss Field Airport,Sioux Falls,United States,43.582000732400004,-96.741897583
GFK,Grand Forks International Airport,Grand Forks,United States,47.949299,-97.176102
GJT,Grand Junction Regional Airport,Grand Junction,United States,39.1223983765,-108.527000427
GRR,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663
GSO,Piedmont Triad International Airport,Greensboro,United States,36.097801208496094,-79.93730163574219
GSP,Greenville Spartanburg International Airport,Greenville,United States,34.8956985474,-82.2189025879
GTF,Great Falls International Airport,Great Falls,United States,47.48199844,-111.3710022
HNL,Daniel K Inouye International Airport,Honolulu,United States,21.32062,-157.924228
HSV,Huntsville International Carl T Jones Field,Huntsville,United States,34.637199401855,-86.775100708008
IAD,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292
IAH,George Bush Intercontinental Houston Airport,Houston,United States,29.984399795532227,-95.34140014648438
ICT,Wichita Eisenhower National Airport,Wichita,United States,37.649899,-97.433098
IND,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403
ITO,Hilo International Airport,Hilo,United States,19.721399307250977,-155.04800415039062
JAC,Jackson Hole Airport,Jacksn Hole,United States,43.6072998046875,-110.73799896240234
JAN,Jackson-Medgar Wiley Evers International Airport,Jackson,United States,32.3111991882,-90.0758972168
JAX,Jacksonville International Airport,Jacksonville,United States,30.49410057067871,-81.68789672851562
JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015
JNU,Juneau International Airport,Juneau,United States,58.35499954223633,-134.5760040283203
LAS,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004
LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971
